Date,Open,High,Low,Close,Adj Close,Volume
2021-05-11,8045.0,8134.0,7667.0,7740.0,7522.02490234375,1191400
2021-05-12,7780.0,7917.0,7700.0,7884.0,7661.96923828125,1118500
2021-05-13,7884.0,7937.0,7537.0,7554.0,7341.26318359375,798600
2021-05-14,7629.0,7869.0,7611.0,7855.0,7633.78564453125,981600
2021-05-17,7914.0,7914.0,7630.0,7664.0,7448.16455078125,483300
2021-05-18,7633.0,7890.0,7633.0,7838.0,7617.26416015625,635700
2021-05-19,7762.0,7887.0,7660.0,7887.0,7664.88427734375,641800
2021-05-20,7777.0,7809.0,7665.0,7779.0,7559.92626953125,550300
2021-05-21,7812.0,7959.0,7793.0,7937.0,7713.4765625,588500
2021-05-24,7831.0,8026.0,7831.0,7835.0,7614.34912109375,461900
2021-05-25,7900.0,7972.0,7875.0,7898.0,7675.57470703125,487800
2021-05-26,7783.0,7936.0,7783.0,7884.0,7661.96923828125,653900
2021-05-27,7840.0,7850.0,7714.0,7806.0,7586.166015625,1238000
2021-05-28,7870.0,7946.0,7841.0,7900.0,7677.51904296875,843200
2021-05-31,7901.0,7942.0,7820.0,7841.0,7620.1806640625,616400
2021-06-01,7928.0,7996.0,7773.0,7794.0,7574.50390625,717700
2021-06-02,7747.0,7828.0,7660.0,7816.0,7595.88427734375,695700
2021-06-03,7773.0,7956.0,7766.0,7943.0,7719.3076171875,483400
2021-06-04,7855.0,7890.0,7770.0,7789.0,7569.64501953125,614700
2021-06-07,7917.0,7937.0,7837.0,7864.0,7642.5322265625,517000
2021-06-08,7928.0,7964.0,7865.0,7921.0,7697.9267578125,458400
2021-06-09,7920.0,8015.0,7845.0,8005.0,7779.56201171875,565500
2021-06-10,8006.0,8064.0,7921.0,8022.0,7796.0830078125,645200
2021-06-11,8048.0,8307.0,8033.0,8277.0,8043.90185546875,1397900
2021-06-14,8227.0,8227.0,7949.0,7956.0,7731.94189453125,866400
2021-06-15,7999.0,8179.0,7999.0,8140.0,7910.759765625,710500
2021-06-16,8075.0,8117.0,7992.0,8021.0,7795.11083984375,741700
2021-06-17,8000.0,8090.0,7865.0,7879.0,7657.10986328125,534500
2021-06-18,8000.0,8000.0,7793.0,7808.0,7588.10986328125,763800
2021-06-21,7701.0,7739.0,7481.0,7566.0,7352.9248046875,810300
2021-06-22,7658.0,7708.0,7593.0,7687.0,7470.517578125,667900
2021-06-23,7764.0,7840.0,7670.0,7710.0,7492.86962890625,562000
2021-06-24,7711.0,7763.0,7668.0,7742.0,7523.96826171875,436900
2021-06-25,7823.0,7848.0,7719.0,7758.0,7539.51806640625,439700
2021-06-28,7748.0,7829.0,7697.0,7745.0,7526.8837890625,427100
2021-06-29,7718.0,7774.0,7688.0,7765.0,7546.3203125,533000
2021-06-30,7799.0,7814.0,7694.0,7708.0,7490.92626953125,527200
2021-07-01,7757.0,7760.0,7590.0,7606.0,7391.79833984375,473800
2021-07-02,7610.0,7679.0,7586.0,7640.0,7424.8408203125,365800
2021-07-05,7640.0,7722.0,7602.0,7695.0,7478.2919921875,343400
2021-07-06,7683.0,7683.0,7576.0,7625.0,7410.26318359375,560900
2021-07-07,7527.0,7623.0,7475.0,7540.0,7327.6572265625,840100
2021-07-08,7496.0,7542.0,7358.0,7379.0,7171.19091796875,729000
2021-07-09,7251.0,7315.0,7117.0,7233.0,7029.302734375,1155600
2021-07-12,7354.0,7495.0,7350.0,7411.0,7202.29052734375,801700
2021-07-13,7354.0,7454.0,7318.0,7397.0,7188.68408203125,410900
2021-07-14,7397.0,7435.0,7351.0,7374.0,7166.33251953125,490200
2021-07-15,7374.0,7407.0,7313.0,7315.0,7108.994140625,339400
2021-07-16,7200.0,7287.0,7156.0,7216.0,7012.78173828125,782000
2021-07-19,7189.0,7295.0,7173.0,7276.0,7071.09130859375,640300
2021-07-20,7194.0,7255.0,7123.0,7175.0,6972.9365234375,636900
2021-07-21,7299.0,7329.0,7200.0,7240.0,7036.10595703125,458200
2021-07-26,7404.0,7404.0,7228.0,7231.0,7027.359375,517500
2021-07-27,7256.0,7287.0,7207.0,7240.0,7036.10595703125,369700
2021-07-28,7101.0,7179.0,7100.0,7160.0,6958.35888671875,575800
2021-07-29,7171.0,7193.0,7077.0,7110.0,6909.7666015625,486700
2021-07-30,7081.0,7108.0,7028.0,7061.0,6862.146484375,644300
2021-08-02,7094.0,7337.0,7094.0,7292.0,7086.64111328125,667200
2021-08-03,7196.0,7240.0,7101.0,7182.0,6979.7392578125,500300
2021-08-04,7096.0,7218.0,7052.0,7188.0,6985.5703125,573200
2021-08-05,7126.0,7298.0,7126.0,7275.0,7070.1201171875,555500
2021-08-06,7760.0,7815.0,7543.0,7764.0,7545.3486328125,1504500
2021-08-10,7642.0,7694.0,7451.0,7461.0,7250.88232421875,1047700
2021-08-11,7520.0,7539.0,7402.0,7476.0,7265.458984375,616300
2021-08-12,7508.0,7552.0,7444.0,7446.0,7236.30419921875,358600
2021-08-13,7489.0,7510.0,7390.0,7409.0,7200.34619140625,507400
2021-08-16,7333.0,7350.0,7192.0,7224.0,7020.55615234375,439600
2021-08-17,7258.0,7328.0,7223.0,7223.0,7019.58447265625,272000
2021-08-18,7192.0,7312.0,7192.0,7224.0,7020.55615234375,404400
2021-08-19,7180.0,7240.0,7165.0,7185.0,6982.654296875,356100
2021-08-20,7184.0,7263.0,7165.0,7180.0,6977.7958984375,413300
2021-08-23,7256.0,7439.0,7256.0,7404.0,7195.48779296875,416000
2021-08-24,7412.0,7562.0,7407.0,7489.0,7278.09326171875,510700
2021-08-25,7448.0,7539.0,7428.0,7499.0,7287.8115234375,465400
2021-08-26,7491.0,7657.0,7474.0,7622.0,7407.34716796875,596800
2021-08-27,7551.0,7650.0,7533.0,7576.0,7362.64306640625,432200
2021-08-30,7657.0,7660.0,7512.0,7567.0,7353.896484375,439900
2021-08-31,7571.0,7679.0,7507.0,7641.0,7425.8125,671200
2021-09-01,7591.0,7856.0,7589.0,7828.0,7607.54638671875,769100
2021-09-02,7828.0,7935.0,7826.0,7872.0,7650.30712890625,534300
2021-09-03,7903.0,8000.0,7843.0,7993.0,7767.8994140625,600300
2021-09-06,8050.0,8362.0,8016.0,8349.0,8113.8740234375,1050300
2021-09-07,8444.0,8512.0,8382.0,8399.0,8162.4658203125,929400
2021-09-08,8448.0,8454.0,8342.0,8425.0,8187.73388671875,650500
2021-09-09,8425.0,8430.0,8348.0,8374.0,8138.17041015625,697600
2021-09-10,8456.0,8565.0,8399.0,8502.0,8262.5654296875,1060300
2021-09-13,8478.0,8537.0,8382.0,8534.0,8293.6640625,526900
2021-09-14,8575.0,8731.0,8565.0,8719.0,8473.453125,888000
2021-09-15,8667.0,8809.0,8666.0,8740.0,8493.86328125,905800
2021-09-16,8800.0,8868.0,8773.0,8828.0,8579.384765625,990500
2021-09-17,8913.0,8970.0,8884.0,8945.0,8693.087890625,1088300
2021-09-21,8940.0,8954.0,8762.0,8883.0,8632.8359375,854300
2021-09-22,8817.0,8817.0,8654.0,8705.0,8459.84765625,701800
2021-09-24,8999.0,9131.0,8930.0,9116.0,8859.2724609375,1231000
2021-09-27,9109.0,9110.0,8835.0,8860.0,8610.484375,720300
2021-09-28,8730.0,8766.0,8610.0,8642.0,8398.623046875,1013500
2021-09-29,8550.0,8573.0,8338.0,8479.0,8247.84765625,779100
2021-09-30,8470.0,8482.0,8360.0,8400.0,8171.0009765625,1088800
2021-10-01,8348.0,8404.0,8109.0,8125.0,7903.49853515625,816500
2021-10-04,8162.0,8200.0,7973.0,8014.0,7795.5244140625,635700
2021-10-05,7864.0,7984.0,7691.0,7835.0,7621.404296875,715500
2021-10-06,7848.0,7959.0,7720.0,7797.0,7584.4404296875,738100
2021-10-07,7856.0,8086.0,7856.0,7910.0,7694.35986328125,693800
2021-10-08,8084.0,8145.0,7987.0,8005.0,7786.7705078125,845800
2021-10-11,7965.0,8157.0,7871.0,8112.0,7890.85302734375,503800
2021-10-12,8112.0,8181.0,8074.0,8107.0,7885.9892578125,415900
2021-10-13,8120.0,8260.0,8120.0,8196.0,7972.56298828125,417900
2021-10-14,8252.0,8440.0,8248.0,8371.0,8142.79150390625,641900
2021-10-15,8420.0,8626.0,8420.0,8610.0,8375.27734375,611700
2021-10-18,8629.0,8712.0,8612.0,8696.0,8458.931640625,666800
2021-10-19,8793.0,8917.0,8793.0,8809.0,8568.8515625,651900
2021-10-20,8779.0,8899.0,8719.0,8788.0,8548.4248046875,642000
2021-10-21,8720.0,8768.0,8548.0,8566.0,8332.4765625,584600
2021-10-22,8538.0,8729.0,8523.0,8670.0,8433.6416015625,523700
2021-10-25,8594.0,8726.0,8572.0,8608.0,8373.3310546875,572400
2021-10-26,8681.0,8727.0,8611.0,8707.0,8469.6328125,609500
2021-10-27,8650.0,8700.0,8535.0,8642.0,8406.4052734375,488600
2021-10-28,8624.0,8755.0,8585.0,8665.0,8428.77734375,1921600
2021-10-29,8686.0,8764.0,8547.0,8687.0,8450.177734375,517500
2021-11-01,8899.0,9060.0,8818.0,9034.0,8787.71875,870800
2021-11-02,8986.0,9219.0,8946.0,9180.0,8929.73828125,889000
2021-11-04,9260.0,9430.0,9241.0,9396.0,9139.8486328125,1201800
2021-11-05,9457.0,9539.0,9364.0,9468.0,9209.88671875,708400
2021-11-08,9300.0,9336.0,9137.0,9262.0,9009.501953125,864100
2021-11-09,9348.0,9477.0,9105.0,9152.0,8902.5009765625,763600
2021-11-10,9335.0,9346.0,9160.0,9274.0,9021.1748046875,1140600
2021-11-11,9300.0,9318.0,9007.0,9148.0,8898.6103515625,751400
2021-11-12,9156.0,9321.0,9116.0,9300.0,9046.4658203125,729000
2021-11-15,9370.0,9520.0,9352.0,9498.0,9239.068359375,641900
2021-11-16,9363.0,9432.0,9314.0,9400.0,9143.740234375,579000
2021-11-17,9452.0,9510.0,9376.0,9409.0,9152.494140625,432400
2021-11-18,9354.0,9445.0,9277.0,9308.0,9054.2470703125,501500
2021-11-19,9249.0,9310.0,9159.0,9269.0,9016.310546875,483000
2021-11-22,9250.0,9353.0,9221.0,9319.0,9064.94921875,396600
2021-11-24,9355.0,9429.0,9169.0,9202.0,8951.13671875,452100
2021-11-25,9276.0,9328.0,9244.0,9266.0,9013.3935546875,320700
2021-11-26,9177.0,9235.0,8986.0,9053.0,8806.2001953125,627800
2021-11-29,9014.0,9235.0,8999.0,9053.0,8806.2001953125,662700
2021-11-30,9168.0,9197.0,8826.0,8837.0,8596.087890625,1321600
2021-12-01,8837.0,8994.0,8789.0,8940.0,8696.2802734375,652300
2021-12-02,8840.0,9202.0,8828.0,9135.0,8885.96484375,948700
2021-12-03,9242.0,9279.0,9041.0,9118.0,8869.4267578125,744500
2021-12-06,9118.0,9200.0,8981.0,9177.0,8926.8193359375,444600
