銘柄名,市場・商品区分,33業種区分,17業種区分
日本一ソフトウェア,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
サイバーコム,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
アステリア,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
アイル,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
Ａｂａｌａｎｃｅ,スタンダード（内国株式）,電気機器,電機・精密 
ラック,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ユビキタスＡＩ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
王子ホールディングス,プライム（内国株式）,パルプ・紙,素材・化学 
日本製紙,プライム（内国株式）,パルプ・紙,素材・化学 
三菱製紙,プライム（内国株式）,パルプ・紙,素材・化学 
北越コーポレーション,プライム（内国株式）,パルプ・紙,素材・化学 
中越パルプ工業,プライム（内国株式）,パルプ・紙,素材・化学 
巴川製紙所,スタンダード（内国株式）,化学,素材・化学 
大王製紙,プライム（内国株式）,パルプ・紙,素材・化学 
ニッポン高度紙工業,スタンダード（内国株式）,パルプ・紙,素材・化学 
岡山製紙,スタンダード（内国株式）,パルプ・紙,素材・化学 
ハビックス,スタンダード（内国株式）,パルプ・紙,素材・化学 
阿波製紙,スタンダード（内国株式）,パルプ・紙,素材・化学 
クラウドワークス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
マークラインズ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
メディカル・データ・ビジョン,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ｇｕｍｉ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
カヤック,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
データセクション,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
シリコンスタジオ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
コラボス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ショーケース,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
エムケイシステム,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
Ａｉｍｉｎｇ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
モバイルファクトリー,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ｓＭｅｄｉｏ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＪＩＧ－ＳＡＷ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
テラスカイ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
デジタル・インフォメーション・テクノロジー,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
アイリッジ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＰＣＩホールディングス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
アイビーシー,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ネオジャパン,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ＰＲ　ＴＩＭＥＳ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ラクス,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ランドコンピュータ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ダブルスタンダード,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
オープンドア,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
フーバーブレイン,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
マイネット,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ソーシャルワイヤー,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
はてな,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
バリューゴルフ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
アカツキ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
チエル,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ベネフィットジャパン,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
エディア,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
グローバルウェイ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｕｂｉｃｏｍホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
カナミックネットワーク,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ノムラシステムコーポレーション,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
レンゴー,プライム（内国株式）,パルプ・紙,素材・化学 
大石産業,スタンダード（内国株式）,パルプ・紙,素材・化学 
古林紙工,スタンダード（内国株式）,パルプ・紙,素材・化学 
スーパーバッグ,スタンダード（内国株式）,パルプ・紙,素材・化学 
トーモク,プライム（内国株式）,パルプ・紙,素材・化学 
ダイナパック,スタンダード（内国株式）,パルプ・紙,素材・化学 
光ビジネスフォーム,スタンダード（内国株式）,パルプ・紙,素材・化学 
ザ・パック,プライム（内国株式）,パルプ・紙,素材・化学 
朝日印刷,スタンダード（内国株式）,パルプ・紙,素材・化学 
大村紙業,スタンダード（内国株式）,パルプ・紙,素材・化学 
昭和パックス,スタンダード（内国株式）,パルプ・紙,素材・化学 
イムラ,スタンダード（内国株式）,パルプ・紙,素材・化学 
笹徳印刷,スタンダード（内国株式）,パルプ・紙,素材・化学 
シルバーエッグ・テクノロジー,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
チェンジホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
シンクロ・フード,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
オークネット,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
キャピタル・アセット・プランニング,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
エルテス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
セグエグループ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
エイトレッド,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
イノベーション,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＳＣＡＴ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
シャノン,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
マクロミル,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
うるる,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ビーグリー,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
オロ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ユーザーローカル,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
テモナ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ビーブレイクシステムズ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
エコモット,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＳＹＳホールディングス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
シェアリングテクノロジー,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＵＵＵＭ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ウォンテッドリー,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ニーズウェル,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
マネーフォワード,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ＳＫＩＹＡＫＩ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
サインポスト,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
トレードワークス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
すららネット,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
レゾナック・ホールディングス,プライム（内国株式）,化学,素材・化学 
住友化学,プライム（内国株式）,化学,素材・化学 
住友精化,プライム（内国株式）,化学,素材・化学 
ヘッドウォータース,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
アクシス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
勤次郎,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
カラダノート,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
アララ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＭＩＴホールディングス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
クリーマ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
スタメン,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ビートレンド,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
日産化学,プライム（内国株式）,化学,素材・化学 
ラサ工業,プライム（内国株式）,化学,素材・化学 
クレハ,プライム（内国株式）,化学,素材・化学 
多木化学,プライム（内国株式）,化学,素材・化学 
神島化学工業,スタンダード（内国株式）,ガラス・土石製品,建設・資材 
テイカ,プライム（内国株式）,化学,素材・化学 
石原産業,プライム（内国株式）,化学,素材・化学 
片倉コープアグリ,スタンダード（内国株式）,化学,素材・化学 
南海化学,スタンダード（内国株式）,化学,素材・化学 
日本曹達,プライム（内国株式）,化学,素材・化学 
東ソー,プライム（内国株式）,化学,素材・化学 
トクヤマ,プライム（内国株式）,化学,素材・化学 
セントラル硝子,プライム（内国株式）,化学,素材・化学 
東亞合成,プライム（内国株式）,化学,素材・化学 
大阪ソーダ,プライム（内国株式）,化学,素材・化学 
関東電化工業,プライム（内国株式）,化学,素材・化学 
ＧＭＯフィナンシャルゲート,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
フィーチャ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｓｕｎ　Ａｓｔｅｒｉｓｋ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
日本情報クリエイト,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ティアンドエス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ニューラルグループ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
インターファクトリー,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
トヨクモ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
まぐまぐ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ｒａｋｕｍｏ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
デンカ,プライム（内国株式）,化学,素材・化学 
イビデン,プライム（内国株式）,電気機器,電機・精密 
信越化学工業,プライム（内国株式）,化学,素材・化学 
日本カーバイド工業,プライム（内国株式）,化学,素材・化学 
ベイシス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＢｌｕｅＭｅｍｅ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
プラスアルファ・コンサルティング,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
電算システムホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ジィ・シィ企画,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ラキール,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ブレインズテクノロジー,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
シイエヌエス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
堺化学工業,プライム（内国株式）,化学,素材・化学 
田中化学研究所,スタンダード（内国株式）,化学,素材・化学 
第一稀元素化学工業,プライム（内国株式）,化学,素材・化学 
エア・ウォーター,プライム（内国株式）,化学,素材・化学 
日本酸素ホールディングス,プライム（内国株式）,化学,素材・化学 
日本化学工業,プライム（内国株式）,化学,素材・化学 
東邦アセチレン,プライム（内国株式）,化学,素材・化学 
日本化学産業,スタンダード（内国株式）,化学,素材・化学 
日本パーカライジング,プライム（内国株式）,化学,素材・化学 
高圧ガス工業,プライム（内国株式）,化学,素材・化学 
チタン工業,スタンダード（内国株式）,化学,素材・化学 
四国化成ホールディングス,プライム（内国株式）,化学,素材・化学 
戸田工業,スタンダード（内国株式）,化学,素材・化学 
丸尾カルシウム,スタンダード（内国株式）,化学,素材・化学 
伊勢化学工業,スタンダード（内国株式）,化学,素材・化学 
ステラ　ケミファ,プライム（内国株式）,化学,素材・化学 
保土谷化学工業,プライム（内国株式）,化学,素材・化学 
田岡化学工業,スタンダード（内国株式）,化学,素材・化学 
日本触媒,プライム（内国株式）,化学,素材・化学 
大日精化工業,プライム（内国株式）,化学,素材・化学 
カネカ,プライム（内国株式）,化学,素材・化学 
日本ピグメント,スタンダード（内国株式）,化学,素材・化学 
スガイ化学工業,スタンダード（内国株式）,化学,素材・化学 
大阪油化工業,スタンダード（内国株式）,化学,素材・化学 
三和油化工業,スタンダード（内国株式）,化学,素材・化学 
協和キリン,プライム（内国株式）,医薬品,医薬品 
プレイド,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
かっこ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ココペリ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ヤプリ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＥＮＥＣＨＡＮＧＥ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
グローバルインフォメーション,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
東和ハイシステム,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ＷＡＣＵＬ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
アピリッツ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ｃｏｌｙ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ココナラ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ｉ‐ｐｌｕｇ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ジーネクスト,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ａｐｐｉｅｒ　Ｇｒｏｕｐ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
三菱瓦斯化学,プライム（内国株式）,化学,素材・化学 
三井化学,プライム（内国株式）,化学,素材・化学 
ＪＳＲ,プライム（内国株式）,化学,素材・化学 
東京応化工業,プライム（内国株式）,化学,素材・化学 
大阪有機化学工業,プライム（内国株式）,化学,素材・化学 
三菱ケミカルグループ,プライム（内国株式）,化学,素材・化学 
ＫＨネオケム,プライム（内国株式）,化学,素材・化学 
スパイダープラス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ファブリカコミュニケーションズ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ビジョナル,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ネオマーケティング,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
アスマーク,PRO Market,情報・通信業,情報通信・サービスその他 
テンダ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ワンダープラネット,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ダイセル,プライム（内国株式）,化学,素材・化学 
住友ベークライト,プライム（内国株式）,化学,素材・化学 
積水化学工業,プライム（内国株式）,化学,素材・化学 
日本ゼオン,プライム（内国株式）,化学,素材・化学 
アイカ工業,プライム（内国株式）,化学,素材・化学 
ＵＢＥ,プライム（内国株式）,化学,素材・化学 
積水樹脂,プライム（内国株式）,化学,素材・化学 
タキロンシーアイ,プライム（内国株式）,化学,素材・化学 
旭有機材,プライム（内国株式）,化学,素材・化学 
ニチバン,プライム（内国株式）,化学,素材・化学 
リケンテクノス,プライム（内国株式）,化学,素材・化学 
大倉工業,プライム（内国株式）,化学,素材・化学 
児玉化学工業,スタンダード（内国株式）,化学,素材・化学 
ロンシール工業,スタンダード（内国株式）,化学,素材・化学 
積水化成品工業,プライム（内国株式）,化学,素材・化学 
群栄化学工業,プライム（内国株式）,化学,素材・化学 
タイガースポリマー,スタンダード（内国株式）,化学,素材・化学 
サンエー化研,スタンダード（内国株式）,化学,素材・化学 
ウルトラファブリックス・ホールディングス,スタンダード（内国株式）,化学,素材・化学 
フジプレアム,スタンダード（内国株式）,化学,素材・化学 
ミライアル,スタンダード（内国株式）,化学,素材・化学 
クラスターテクノロジー,グロース（内国株式）,化学,素材・化学 
アテクト,スタンダード（内国株式）,化学,素材・化学 
タカギセイコー,スタンダード（内国株式）,化学,素材・化学 
ニックス,スタンダード（内国株式）,化学,素材・化学 
ダイキアクシス,スタンダード（内国株式）,化学,素材・化学 
ダイキョーニシカワ,プライム（内国株式）,化学,素材・化学 
ポバール興業,スタンダード（内国株式）,化学,素材・化学 
竹本容器,スタンダード（内国株式）,化学,素材・化学 
森六ホールディングス,プライム（内国株式）,化学,素材・化学 
恵和,プライム（内国株式）,化学,素材・化学 
ＴＨＥＣＯＯ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
サインド,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
エヴィクサー,PRO Market,情報・通信業,情報通信・サービスその他 
網屋,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
エクサウィザーズ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ハイブリッドテクノロジーズ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
アジアクエスト,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ニフティライフスタイル,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
サスメド,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
セキュア,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ライトワークス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
エッジテクノロジー,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＢｅｅＸ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
日本化薬,プライム（内国株式）,化学,素材・化学 
細谷火工,スタンダード（内国株式）,化学,素材・化学 
カーリットホールディングス,プライム（内国株式）,化学,素材・化学 
ソルクシーズ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ＣＬホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ジャストプランニング,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
アズジェント,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
プレステージ・インターナショナル,プライム（内国株式）,サービス業,情報通信・サービスその他 
セプテーニ・ホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
フェイス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
プロトコーポレーション,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ハイマックス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
アミューズ,プライム（内国株式）,サービス業,情報通信・サービスその他 
Ｅストアー,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
野村総合研究所,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
Ｊストリーム,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ドリームインキュベータ,プライム（内国株式）,サービス業,情報通信・サービスその他 
サイバネットシステム,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ビーマップ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
レイ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
クイック,プライム（内国株式）,サービス業,情報通信・サービスその他 
ＴＡＣ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ＣＥホールディングス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
日本システム技術,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
電通グループ,プライム（内国株式）,サービス業,情報通信・サービスその他 
インテージホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
テイクアンドギヴ・ニーズ,プライム（内国株式）,サービス業,情報通信・サービスその他 
東邦システムサイエンス,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ユークス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
アイ・ピー・エス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ぴあ,プライム（内国株式）,サービス業,情報通信・サービスその他 
西菱電機,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
イオンファンタジー,プライム（内国株式）,サービス業,情報通信・サービスその他 
ソースネクスト,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
シーティーエス,プライム（内国株式）,サービス業,情報通信・サービスその他 
ネクシィーズグループ,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
ブロードメディア,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
インフォコム,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
メディカルシステムネットワーク,スタンダード（内国株式）,小売業,小売 
山田債権回収管理総合事務所,スタンダード（内国株式）,その他金融業,金融（除く銀行） 
応用技術,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
マナック・ケミカル・パートナーズ,スタンダード（内国株式）,化学,素材・化学 
川口化学工業,スタンダード（内国株式）,化学,素材・化学 
日本精化,プライム（内国株式）,化学,素材・化学 
松本油脂製薬,スタンダード（内国株式）,化学,素材・化学 
ダイトーケミックス,スタンダード（内国株式）,化学,素材・化学 
広栄化学,スタンダード（内国株式）,化学,素材・化学 
扶桑化学工業,プライム（内国株式）,化学,素材・化学 
トリケミカル研究所,プライム（内国株式）,化学,素材・化学 
モビルス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
コアコンセプト・テクノロジー,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ユミルリンク,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
シンプレクス・ホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
セーフィー,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
くふうカンパニー,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ワンキャリア,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＣＩＮＣ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｐｈｏｔｏｓｙｎｔｈ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｍマート,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ビープラッツ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＨＥＲＯＺ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ラクスル,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
メルカリ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ＳＩＧグループ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ＺＵＵ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
エーアイ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
プロパティデータバンク,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＩＰＳ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ロジザード,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＦＩＧ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
バンク・オブ・イノベーション,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
エクスモーション,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
アクリート,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
システムサポート,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
チームスピリット,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ブロードバンドセキュリティ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ＡＤＥＫＡ,プライム（内国株式）,化学,素材・化学 
日油,プライム（内国株式）,化学,素材・化学 
ミヨシ油脂,スタンダード（内国株式）,食料品,食品 
新日本理化,スタンダード（内国株式）,化学,素材・化学 
東邦化学工業,スタンダード（内国株式）,化学,素材・化学 
ハリマ化成グループ,プライム（内国株式）,化学,素材・化学 
サイエンスアーツ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ボードルア,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
フレクト,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ブロードエンタープライズ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｔｒｕｅ　Ｄａｔａ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
グローバルセキュリティエキスパート,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＪＤＳＣ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｆｉｎａｔｅｘｔホールディングス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
イーソル,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ディ・アイ・システム,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ＶＡＬＵＥＮＥＸ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ａｍａｚｉａ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｋｕｄａｎ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
パスロジ,PRO Market,情報・通信業,情報通信・サービスその他 
ＥｄｕＬａｂ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
シノプス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
リックソフト,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
東海ソフト,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
スマレジ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ウイングアーク１ｓｔ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ヒト・コミュニケーションズ・ホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
サーバーワークス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
カオナビ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ミンカブ・ジ・インフォノイド,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ｇｏｏｄｄａｙｓホールディングス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｗｅｌｂｙ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
東名,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
ヴィッツ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
トビラシステムズ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他 
バルテス・ホールディングス,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｓａｎｓａｎ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
インフォネット,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
リビン・テクノロジーズ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｌｉｎｋ－Ｕ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ピー・ビーシステムズ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
Ｃｈａｔｗｏｒｋ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ギフティ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
パワーソリューションズ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
花王,プライム（内国株式）,化学,素材・化学 
第一工業製薬,プライム（内国株式）,化学,素材・化学 
石原ケミカル,プライム（内国株式）,化学,素材・化学 
日華化学,スタンダード（内国株式）,化学,素材・化学 
ソフト９９コーポレーション,スタンダード（内国株式）,化学,素材・化学 
ニイタカ,スタンダード（内国株式）,化学,素材・化学 
三洋化成工業,プライム（内国株式）,化学,素材・化学 
ＨＥＮＮＧＥ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＡＩ　ＣＲＯＳＳ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＢＡＳＥ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
フリー,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
マクアケ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
メドレー,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ベース,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ウィルズ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
ＪＭＤＣ,プライム（内国株式）,情報・通信業,情報通信・サービスその他 
ランサーズ,グロース（内国株式）,情報・通信業,情報通信・サービスその他 
