銘柄名,市場・商品区分,33業種区分,17業種区分
丸八証券,スタンダード（内国株式）,証券、商品先物取引業,金融（除く銀行） 
トレイダーズホールディングス,スタンダード（内国株式）,証券、商品先物取引業,金融（除く銀行） 
日産証券グループ,スタンダード（内国株式）,証券、商品先物取引業,金融（除く銀行） 
極東証券,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行） 
岩井コスモホールディングス,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行） 
アイザワ証券グループ,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行） 
フィデアホールディングス,プライム（内国株式）,銀行業,銀行 
池田泉州ホールディングス,プライム（内国株式）,銀行業,銀行 
アニコム　ホールディングス,プライム（内国株式）,保険業,金融（除く銀行） 
ＭＳ＆ＡＤインシュアランスグループホールディングス,プライム（内国株式）,保険業,金融（除く銀行） 
マネーパートナーズグループ,スタンダード（内国株式）,証券、商品先物取引業,金融（除く銀行） 
あかつき本社,スタンダード（内国株式）,証券、商品先物取引業,金融（除く銀行） 
スパークス・グループ,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行） 
小林洋行,スタンダード（内国株式）,証券、商品先物取引業,金融（除く銀行） 
第一商品,スタンダード（内国株式）,証券、商品先物取引業,金融（除く銀行） 
豊トラスティ証券,スタンダード（内国株式）,証券、商品先物取引業,金融（除く銀行） 
第一生命ホールディングス,プライム（内国株式）,保険業,金融（除く銀行） 
東京海上ホールディングス,プライム（内国株式）,保険業,金融（除く銀行） 
アドバンテッジリスクマネジメント,スタンダード（内国株式）,サービス業,情報通信・サービスその他 
イー・ギャランティ,プライム（内国株式）,その他金融業,金融（除く銀行） 
アサックス,スタンダード（内国株式）,その他金融業,金融（除く銀行） 
ＧＦＡ,スタンダード（内国株式）,その他金融業,金融（除く銀行） 
フィンテック　グローバル,スタンダード（内国株式）,その他金融業,金融（除く銀行） 
ＮＥＣキャピタルソリューション,プライム（内国株式）,その他金融業,金融（除く銀行） 
Ｔ＆Ｄホールディングス,プライム（内国株式）,保険業,金融（除く銀行） 
アドバンスクリエイト,プライム（内国株式）,保険業,金融（除く銀行） 
三井不動産,プライム（内国株式）,不動産業,不動産 
三菱地所,プライム（内国株式）,不動産業,不動産 
平和不動産,プライム（内国株式）,不動産業,不動産 
東京建物,プライム（内国株式）,不動産業,不動産 
京阪神ビルディング,プライム（内国株式）,不動産業,不動産 
住友不動産,プライム（内国株式）,不動産業,不動産 
太平洋興発,スタンダード（内国株式）,卸売業,商社・卸売 
ＲＩＳＥ,スタンダード（内国株式）,不動産業,不動産 
テーオーシー,スタンダード（内国株式）,不動産業,不動産 
東京楽天地,プライム（内国株式）,不動産業,不動産 
コスモスイニシア,スタンダード（内国株式）,不動産業,不動産 
レオパレス２１,プライム（内国株式）,不動産業,不動産 
スターツコーポレーション,プライム（内国株式）,不動産業,不動産 
日住サービス,スタンダード（内国株式）,不動産業,不動産 
フジ住宅,プライム（内国株式）,不動産業,不動産 
空港施設,プライム（内国株式）,不動産業,不動産 
明和地所,スタンダード（内国株式）,不動産業,不動産 
ゴールドクレスト,スタンダード（内国株式）,不動産業,不動産 
リログループ,プライム（内国株式）,サービス業,情報通信・サービスその他 
エスリード,プライム（内国株式）,不動産業,不動産 
日神グループホールディングス,プライム（内国株式）,不動産業,不動産 
ウッドフレンズ,スタンダード（内国株式）,不動産業,不動産 
リベレステ,スタンダード（内国株式）,不動産業,不動産 
ＡＰＡＭＡＮ,スタンダード（内国株式）,不動産業,不動産 
レーサム,スタンダード（内国株式）,不動産業,不動産 
ＡＭＧホールディングス,スタンダード（内国株式）,不動産業,不動産 
